ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
MOD,US6078281002,US,2022,H2,1.5599999999999998,5.05,6.900000000000001,5.970567624386826,1427.0,2050.1,968.9,85.2,0,1,1
MOD,US6078281002,US,2023,H1,0.02,5.5,6.900000000000001,5.970567624386826,1427.0,2050.1,968.9,85.2,0,1,1
MOD,US6078281002,US,2023,H2,0.02,5.25,6.883333333333333,9.777124976052109,1565.9,2297.9,966.3,153.1,0,1,1
MOD,US6078281002,US,2024,H1,0.02,5.2,7.099999999999999,9.777124976052109,1565.9,2297.9,966.3,153.1,0,1,1
MPAA,US6200711009,US,2018,H1,4.7,4.1,4.726666666666667,3.299514456103879,494.497,428.072,219.521,16.316,1,1,1
MPAA,US6200711009,US,2018,H2,4.7,4.1,5.433333333333334,3.299514456103879,494.497,428.072,219.521,16.316,1,1,1
MPAA,US6200711009,US,2019,H1,5.1,4.5,4.55,3.299514456103879,494.497,428.072,219.521,16.316,1,1,1
MPAA,US6200711009,US,2019,H2,5.066666666666666,4.45,5.016666666666667,-1.2412194281123787,632.362,465.811,352.607,-7.849,1,1,1
MPAA,US6200711009,US,2020,H1,4.9,2.816666666666667,3.483333333333333,-1.2412194281123787,632.362,465.811,352.607,-7.849,1,0,0
PATK,US7033431039,US,2020,H2,0.05,5.2,5.4,5.535477505581901,1753.435,2486.597,1193.994,97.061,0,1,1
PATK,US7033431039,US,2021,H1,1.75,4.266666666666667,5.283333333333333,5.535477505581901,1753.435,2486.597,1193.994,97.061,0,1,1
PHIN,US71880K1016,US,2023,H2,2.6,1.7,3.9879999999999995,2.5241276911655532,4041.0,3500.0,2154.0,102.0,0,0,0
PHIN,US71880K1016,US,2024,H1,2.6,1.7,0.07,2.5241276911655532,4041.0,3500.0,2154.0,102.0,0,0,0
QS,US74767V1098,US,2023,H1,4.8,2.6,5.3,-27.918213698466726,1475.406,0.0,155.862,-411.907,1,0,1
QS,US74767V1098,US,2023,H2,4.8,2.6,0.06,-29.637251677454664,1501.978,0.0,161.801,-445.145,1,0,0
QS,US74767V1098,US,2024,H1,4.8,2.6666666666666665,0.06,-29.637251677454664,1501.978,0.0,161.801,-445.145,1,0,0
RIDE,US54405Q1004,US,2021,H2,4.6,5.3,3.2399999999999998,,,,,,0,1,0
RIDE,US54405Q1004,US,2022,H1,4.6,5.3,2.65,,,,,,0,1,0
RIDE,US54405Q1004,US,2022,H2,5.1,4.5,2.9,,,,,,1,1,0
RIDE,US54405Q1004,US,2023,H1,5.6,4.4,2.9,,,,,,1,1,0
RIDE,US54405Q2093,US,2023,H1,5.6,4.4,2.5,,,,,,1,1,0
RIDE,US54405Q2093,US,2023,H2,5.6,4.4,3.5,,,,,,1,1,0
RIDEQ,US54405Q2093,US,2023,H2,5.6,4.4,2.9,,,,,,1,1,0
RIVN,US76954A1034,US,2022,H1,7.5,0.04,4.64,-21.028079303848568,22294.0,55.0,2780.0,-4688.0,1,0,1
RIVN,US76954A1034,US,2022,H2,7.8999999999999995,2.4,4.9,-37.77131349295144,17876.0,1658.0,4077.0,-6752.0,1,0,1
RIVN,US76954A1034,US,2023,H1,8.1,2.4,4.9,-37.77131349295144,17876.0,1658.0,4077.0,-6752.0,1,0,1
RIVN,US76954A1034,US,2023,H2,8.7,2.3,5.25,-32.375730122779835,16778.0,4434.0,7637.0,-5432.0,1,0,1
RIVN,US76954A1034,US,2024,H1,8.7,2.3,5.3,-32.375730122779835,16778.0,4434.0,7637.0,-5432.0,1,0,1
SLDP,US83422N1054,US,2022,H2,4.8,2.4,5.62,-1.6073789713447477,594.446,11.789,39.074,-9.555,1,0,1
SLDP,US83422N1054,US,2023,H1,4.8,2.4,5.7,-1.6073789713447477,594.446,11.789,39.074,-9.555,1,0,1
SLDP,US83422N1054,US,2023,H2,4.666666666666667,2.3333333333333335,6.1000000000000005,-12.302924968843376,532.792,17.41,29.457,-65.549,1,0,1
SLDP,US83422N1054,US,2024,H1,4.6,2.3,6.2,-12.302924968843376,532.792,17.41,29.457,-65.549,0,0,1
SMP,US8536661056,US,2018,H1,2.7000000000000006,4.7,6.25,5.100387602415755,843.132,1092.051,375.931,43.003,0,1,1
SMP,US8536661056,US,2018,H2,2.7000000000000006,4.616666666666666,4.04,5.100387602415755,843.132,1092.051,375.931,43.003,0,1,0
